season,player,possessions,DRAYMOND
2019,Chimezie Metu,320.0271,-0.498618
2019,CJ Miles,1872.709,0.4898161
2014,Kentavious Caldwell-Pope,3252.076,-1.08719
2015,Rasual Butler,3030.315,0.4149032
2019,Rudy Gobert,5785.591,2.818105
2014,Anthony Randolph,1128.0,0.429688
2018,Troy Daniels,3469.728,-1.158183
2014,Enes Kanter,4164.2,-0.6286753
2017,Alex Poythress,327.345,-1.035528
2014,Gerald Wallace,2832.59,-1.044868
2018,Trevor Booker,2601.785,0.7200575
2018,Taj Gibson,5783.583,-0.1510231
2018,Paul George,6535.712,-1.223345
2017,Greg Monroe,3946.417,-1.165345
2019,Isaiah Briscoe,1172.968,2.151348
2016,Brandon Knight,3913.754,-0.8380009
2019,Montrezl Harrell,5059.705,1.821483
2014,Luke Ridnour,2307.101,-3.117274
2015,Quincy Acy,2533.781,1.281546
2018,Andrew Bogut,464.67,1.802759
2017,Eric Bledsoe,4629.893,-1.953662
2015,Andrei Kirilenko,73.6875,2.307151
2017,D'Angelo Russell,3805.741,-1.375498
2018,Damian Lillard,5852.063,0.7098828
2015,Caron Butler,3186.49,-1.027248
2016,Russell Westbrook,7059.855,-0.5940242
2017,Matthew Dellavedova,4326.924,-0.2072835
2017,Rodney Stuckey,1422.595,1.054686
2018,Frank Ntilikina,3538.884,1.805818
2016,Kris Humphries,1891.871,-0.4820625
2017,Pau Gasol,3993.822,0.7056652
2014,Jared Sullinger,4089.654,0.3109426
2017,Kevin Love,5059.1,0.2468506
2015,Kyle O'Quinn,1658.128,0.906188
2017,Kyle Wiltjer,115.3498,-3.431909
2018,James Young,122.7879,6.554773
2018,Tyler Ennis,1452.656,0.7595849
2018,Tomas Satoransky,3511.921,0.5930712
2014,Earl Clark,1547.645,-0.738893
2018,Blake Griffin,4070.221,0.9182305
2019,Mikal Bridges,5175.905,-0.9787985
2018,Montrezl Harrell,2782.644,0.8819256
2015,Jeffery Taylor,841.1875,-2.334887
2014,Jarvis Varnado,721.7752,-0.1068563
2014,Kevin Garnett,2621.624,0.539619
2016,Kobe Bryant,3840.497,-0.9216651
2016,Jordan Adams,34.2625,-5.117796
2019,Dewayne Dedmon,3515.665,0.7564588
2019,Dario Saric,4370.715,0.1064823
2017,Kris Dunn,2706.545,-0.8758686
2018,Tyler Dorsey,2070.968,-1.09302
2014,Jeffery Taylor,1267.042,1.872166
2016,Russ Smith,151.0713,-6.159863
2019,Derrick Favors,4036.296,3.741363
2016,Kent Bazemore,5051.965,1.206292
2014,Drew Gooden,1044.222,0.0097799
2019,Nicolas Batum,4923.293,0.6174049
2016,Paul Millsap,6210.864,0.7944914
2015,Wesley Johnson,4529.287,-1.22225
2017,DeAndre' Bembry,760.55,1.26038
2016,JaVale McGee,784.3821,-1.606021
2018,Marcin Gortat,4594.24,0.8181264
2015,DeAndre Jordan,6635.813,0.429695
2019,Ersan Ilyasova,3315.226,-0.2015826
2018,Josh Richardson,5772.128,1.905597
2018,Myke Henry,784.35,-1.522069
2018,Domantas Sabonis,4037.399,0.6226928
2016,Isaiah Thomas,6053.875,-0.139408
2019,Luc Mbah a Moute,142.4985,5.39765
2015,David Stockton,74.31187,10.83348
2014,Roger Mason Jr.,517.0208,2.114041
2018,Joel Embiid,4682.571,3.392133
2017,Jonathan Gibson,479.0844,-3.821251
2015,Danilo Gallinari,2926.865,-1.159621
2014,Damion James,101.7813,1.725496
2017,Mike Muscala,2776.381,0.5298371
2015,Tyrus Thomas,15.03833,13.0554
2016,Briante Weber,352.696,-3.947102
2019,Miles Bridges,3624.846,-1.346092
2014,Luol Deng,4306.971,-0.194337
2018,London Perrantes,133.9662,-7.062712
2015,Shavlik Randolph,266.965,-1.251011
2018,Jason Smith,620.0518,0.9317689
2014,Thabo Sefolosha,3708.641,1.103898
2016,James Johnson,2023.314,0.8137307
2018,Lou Williams,5525.357,-0.5816922
2019,Raymond Felton,938.1789,1.569711
2014,Brandon Rush,831.0363,-4.093122
2019,Wesley Johnson,1178.64,-0.0836438
2014,Miroslav Raduljica,933.875,1.576469
2019,Frank Mason,981.9219,0.2843952
2016,Rashad Vaughn,2023.063,-1.893904
2016,DeJuan Blair,480.8263,-0.1904931
2016,Miles Plumlee,1774.256,1.492802
2016,Lamar Patterson,875.0834,-2.657447
2019,Kosta Koufos,1118.519,1.057711
2016,Mo Williams,1637.837,0.1495527
2015,Carl Landry,2410.572,0.769872
2019,Rondae Hollis-Jefferson,2846.572,0.1121688
2016,Derrick Favors,3853.217,1.347303
2018,Luke Babbitt,1515.302,-1.501436
2015,Steven Adams,3564.875,1.306303
2016,Beno Udrih,1420.639,0.0741362
2015,Jason Maxiell,1773.743,1.439734
2018,JaKarr Sampson,691.0817,3.309721
2016,Sergey Karasev,843.1369,-0.202805
2014,Evan Turner,5407.482,-2.006326
2016,Draymond Green,7806.985,4.236329
2015,John Salmons,532.125,-4.114778
2019,Timothe Luwawu-Cabarrot,1448.884,-1.803467
2016,Tristan Thompson,5714.702,0.874108
2014,Kyrie Irving,4937.92,-0.2394879
2015,Marco Belinelli,3042.182,-1.67136
2016,Eric Gordon,3053.637,-0.8223231
2016,Jarrett Jack,2102.141,-1.559993
2015,Andrew Nicholson,980.8225,-0.2680864
2019,LaMarcus Aldridge,6012.034,1.818261
2014,Greg Monroe,5430.438,-0.6706363
2017,Udonis Haslem,271.1313,-2.275775
2017,Tony Parker,3507.806,-1.731071
2018,Joe Young,1166.244,0.0485497
2016,Danny Green,4647.793,1.320013
2014,Luke Babbitt,915.7477,1.153215
2014,Amar'e Stoudemire,2799.755,0.0625684
2019,Justin Patton,47.40313,-8.452327
2015,Pablo Prigioni,3040.53,-2.161735
2016,Jonas Jerebko,2847.966,1.108289
2017,Malachi Richardson,406.2712,-0.5708642
2015,Luke Babbitt,1672.277,-1.225822
2014,Kevin Love,5871.952,-0.7942863
2014,J.J. Barea,3008.501,-1.606442
2018,Willy Hernangomez,1053.401,-0.752775
2018,Pau Gasol,3886.316,1.551924
2017,Enes Kanter,3269.807,0.8937797
2015,Alan Anderson,3802.11,-0.1540046
2019,Giannis Antetokounmpo,6338.544,2.128734
2018,Ian Mahinmi,2487.74,1.520338
2015,Furkan Aldemir,1096.537,-0.7432363
2018,Raul Neto,1220.896,3.326163
2017,Will Barton,3553.859,-1.803124
2018,Darrun Hilliard,198.5896,-5.930244
2018,Thomas Bryant,155.385,-4.072073
2018,Sam Dekker,1921.997,-0.2548563
2016,Nene,2328.169,-0.7371449
2015,Jarrett Jack,4766.893,0.8739181
2014,Ognjen Kuzmic,222.1525,-3.170971
2017,CJ McCollum,6097.783,-0.6698294
2016,Chandler Parsons,3615.615,-0.1164792
2014,Carlos Boozer,4370.874,-0.8854232
2014,Ray McCallum,1768.585,1.96379
2017,Briante Weber,400.5759,-5.821869
2018,Giannis Antetokounmpo,6193.734,1.455025
2016,Victor Oladipo,4874.472,0.1723826
2017,Marc Gasol,5385.71,0.2014102
2014,Richard Jefferson,4300.135,-1.850104
